patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
seurat_merge	SeuratObject 5.4.0.9001	large	1	Linux	bacher_tcell	baseline	ok	3	13.408, 14.172, 14.269	13.95	14.172	8158.9, 8158.8, 8159.1	8158.962	8158.941						0.3.1	2026-08-01 13:37:45	2026-08-01 13:43:38	scale
seurat_merge	SeuratObject 5.4.0.9001	large	1	Linux	bacher_tcell	patched	ok	3	10.979, 10.706, 10.211	10.632	10.706	6442.3, 6442.1, 6442.0	6442.142	6442.09	1.271, 1.303, 1.366	1.313	1.303	1	{"accessor_attributes_match":1,"accessor_class_match":1,"active_ident_levels_match":1,"active_ident_match":1,"assay_classes_match":1,"assay_features_match":1,"assay_key_match":1,"assay_misc_match":1,"assay_names_match":1,"backend_attributes_match":1,"cell_name_jaccard":1,"cell_order_match":1,"default_layer_match":1,"default_slot_match":1,"dims_match":1,"error_match":1,"feature_metadata_match":1,"features_match":1,"input_digest_match":1,"input_immutable":1,"layer_cellsum_pearson":1,"layer_featuresum_pearson":1,"layer_max_abs_diff":0,"layer_names_match":1,"layer_structure_match":1,"logmap_match":1,"metadata_digest_match":1,"misc_match":1,"project_match":1,"raw_attributes_match":1,"raw_class_match":1,"status_match":1,"valid_object":1,"version_match":1,"warnings_match":1}	0.3.1	2026-08-01 13:39:24	2026-08-01 13:45:16	scale
seurat_merge	SeuratObject 5.4.0.9001	small	1	Linux	baron_pancreas_human	baseline	ok	3	0.585, 0.608, 0.587	0.593	0.587	1107.6, 1107.3, 1107.6	1107.518	1107.594						0.3.1	2026-08-01 13:33:02	2026-08-01 13:33:47	scale
seurat_merge	SeuratObject 5.4.0.9001	small	1	Linux	baron_pancreas_human	patched	ok	3	0.183, 0.181, 0.179	0.181	0.181	962.5, 963.1, 962.8	962.79	962.824	3.238, 3.283, 3.315	3.278	3.283	1	{"accessor_attributes_match":1,"accessor_class_match":1,"active_ident_levels_match":1,"active_ident_match":1,"assay_classes_match":1,"assay_features_match":1,"assay_key_match":1,"assay_misc_match":1,"assay_names_match":1,"backend_attributes_match":1,"cell_name_jaccard":1,"cell_order_match":1,"default_layer_match":1,"default_slot_match":1,"dims_match":1,"error_match":1,"feature_metadata_match":1,"features_match":1,"input_digest_match":1,"input_immutable":1,"layer_cellsum_pearson":1,"layer_featuresum_pearson":1,"layer_max_abs_diff":0,"layer_names_match":1,"layer_structure_match":1,"logmap_match":1,"metadata_digest_match":1,"misc_match":1,"project_match":1,"raw_attributes_match":1,"raw_class_match":1,"status_match":1,"valid_object":1,"version_match":1,"warnings_match":1}	0.3.1	2026-08-01 13:33:15	2026-08-01 13:34:00	scale
seurat_merge	SeuratObject 5.4.0.9001	medium	1	Linux	campbell_brain	baseline	ok	3	1.417, 1.470, 1.490	1.459	1.47	2424.7, 2424.6, 2424.8	2424.676	2424.715						0.3.1	2026-08-01 13:34:21	2026-08-01 13:36:00	scale
seurat_merge	SeuratObject 5.4.0.9001	medium	1	Linux	campbell_brain	patched	ok	3	0.609, 0.600, 0.596	0.602	0.6	1960.2, 1959.9, 1959.9	1959.991	1959.898	2.394, 2.433, 2.446	2.424	2.433	1	{"accessor_attributes_match":1,"accessor_class_match":1,"active_ident_levels_match":1,"active_ident_match":1,"assay_classes_match":1,"assay_features_match":1,"assay_key_match":1,"assay_misc_match":1,"assay_names_match":1,"backend_attributes_match":1,"cell_name_jaccard":1,"cell_order_match":1,"default_layer_match":1,"default_slot_match":1,"dims_match":1,"error_match":1,"feature_metadata_match":1,"features_match":1,"input_digest_match":1,"input_immutable":1,"layer_cellsum_pearson":1,"layer_featuresum_pearson":1,"layer_max_abs_diff":0,"layer_names_match":1,"layer_structure_match":1,"logmap_match":1,"metadata_digest_match":1,"misc_match":1,"project_match":1,"raw_attributes_match":1,"raw_class_match":1,"status_match":1,"valid_object":1,"version_match":1,"warnings_match":1}	0.3.1	2026-08-01 13:34:49	2026-08-01 13:36:28	scale
