patch	package_version	tier	threads	platform	dataset	variant	status	n_reps	sec_reps	sec_mean	sec_median	mem_reps	mem_mean	mem_median	speedup_x_reps	speedup_x_mean	speedup_x_median	pass_rate	metrics_json_median	fw_versions	ts_first	ts_last	thread_scaling
soupx	SoupX 1.6.2	medium	1	Linux	pbmc10k_v3	patched	ok	1	3.118	3.118	3.118	1563.9	1563.914	1563.914	12.092	12.092	12.092	1	{"cell_total_pearson":1,"corrected_frobenius_rel":0,"corrected_max_abs_diff":0,"corrected_pearson_full":1,"nnzero_jaccard":1}	0.3.1	2026-08-01 06:18:59	2026-08-01 06:18:59	scale
soupx	SoupX 1.6.2	large	1	Linux	pbmc20k_v31_ht	patched	ok	2	3.961, 4.053	4.007	4.007	1796.8, 1796.8	1796.812	1796.812	16.987, 16.433	16.710	16.710	1	{"cell_total_pearson":1,"corrected_frobenius_rel":0,"corrected_max_abs_diff":0,"corrected_pearson_full":1,"nnzero_jaccard":1}	0.3.1	2026-08-01 06:22:52	2026-08-01 06:26:30	scale
